Object Name,Game Location,Pixel Sprite (in-game),Description of the Object in the Real World (and its meaning for knowledge and culture),Connection to TOK Knowledge Questions (with suggested answers and reasons),Learn More (MLA),"Components When Dissected (claims, fact, materials)",Icon,Rarity,Concept,Framework Element,Subject,In-Game Effect,Sprite Template,Object ID
"HOLC Redlining Map of Detroit, 1939",The Unasked Room: locked chamber treasure (needs its keys),Generated in-game (template: map),"The Home Owners' Loan Corporation drew color-graded security maps of American cities in the 1930s, marking mostly Black neighborhoods in red as hazardous for lending. Banks and federal agencies steered money accordingly for decades. Historians and economists use the surviving maps to trace how a bureaucratic drawing shaped generations of wealth and segregation.","KQ: How can a map create the facts it claims merely to describe?

Suggested answer 1: The map graded neighborhoods for loan risk, lenders followed the grades, investment fled the red zones, and decline followed, so the description manufactured its own evidence.

Suggested answer 2: A map also leaves a trail. Researchers now overlay the 1939 grades on present-day income, health, and heat maps, so the same object which caused harm supplies the proof of it.","""Redlining."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Redlining. | Nelson, Robert K., et al. ""Mapping Inequality."" American Panorama, University of Richmond, n.d., dsl.richmond.edu/panorama/redlining.","Claim card 1: The map graded neighborhoods for loan risk, lenders followed the grades, investment fled the red zones, and decline followed, so the description… | Claim card 2: A map also leaves a trail. | Fact card: The Home Owners' Loan Corporation drew color-graded security maps of American cities in the 1930s, marking mostly Black neighborhoods in red as… | Materials: 2 Paper, 1 Salt",🗺️,Rare,Power,Ethics,Geography,On finding: +25 Power insight,map,v37_ch_secret_hu
"Bonshō of Myōshin-ji, Cast 698 CE, Kyoto",The Unnamed Room: locked chamber treasure (needs its keys),Generated in-game (template: bell),"The bronze temple bell at Myōshin-ji in Kyoto carries a cast date of 698 CE, making it Japan's oldest dated bonshō. Struck from outside with a wooden beam, such bells mark time, gather monks, and close the year with 108 tolls. Acousticians have studied its long, layered decay, and monks have simply listened to it for thirteen centuries.","KQ: What kinds of knowledge live in a sound rather than a sentence?

Suggested answer 1: A temple bell teaches timing, attention, and shared pause without stating anything, so communities can hold procedural and felt knowledge in objects language never fully translates.

Suggested answer 2: The inscription on the bell still speaks in words, dating it to 698, so even the least verbal artifact tends to travel with text, and the two kinds of knowing arrive together.","""Bonshō."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Bonsh%C5%8D. | ""Myōshin-ji."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/My%C5%8Dshin-ji.","Claim card 1: A temple bell teaches timing, attention, and shared pause without stating anything, so communities can hold procedural and felt knowledge in objects… | Claim card 2: The inscription on the bell still speaks in words, dating it to 698, so even the least verbal artifact tends to travel with text, and the two kinds… | Fact card: The bronze temple bell at Myōshin-ji in Kyoto carries a cast date of 698 CE, making it Japan's oldest dated bonshō. | Materials: 2 Bronze, 1 Cord",🔔,Epic,Culture,Scope,World Religions,Carried: Perspective Token (Culture),bell,v37_ch_secret_th
"The Diamond Sutra, Printed Scroll, Dunhuang, 868 CE",The Great Library: in the open (Field Search or floor pickup),Generated in-game (template: scroll),"A colophon dates this printed Buddhist scroll to 11 May 868, the oldest dated printed book known. Wang Jie commissioned it 'for universal free distribution' in honour of his parents. Aurel Stein removed it from the Mogao caves in 1907, and the British Library holds it today.","KQ: Who decides which knowledge should be free for everyone?

Suggested answer 1: The donor paid for printing so anyone could read the sutra. Free copies spread the teaching far beyond one temple.

Suggested answer 2: Free access still follows a choice. One patron picked this text over all others, so a gift can also steer belief.","""Diamond Sutra."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Diamond_Sutra. | ""Diamond Sutra."" Encyclopaedia Britannica, n.d., www.britannica.com/topic/Diamond-Sutra.","Claim card 1: The donor paid for printing so anyone could read the sutra. | Claim card 2: Free access still follows a choice. | Fact card: A colophon dates this printed Buddhist scroll to 11 May 868, the oldest dated printed book known. | Materials: 2 Paper, 1 Resin",📜,Common,Culture,Scope,World Religions,On finding: +12 Culture insight,scroll,r61_001
"A Dictionary of the English Language, Samuel Johnson, 1755",The Tower of Tongues: hidden. Hint: Shelved behind the folio atlases in the second alcove of the tongue tower.,Generated in-game (template: book),"Samuel Johnson published this dictionary in London in 1755 after nine years of writing. He defined about 40,000 words and supported them with literary quotations. Readers treated it as the authority on English for more than a century.","KQ: Who decides which words belong in a language?

Suggested answer 1: A single editor drew the line here. Johnson chose the entries and wrote witty definitions, so the standard carried one man's taste.

Suggested answer 2: Usage outvotes any editor. Speakers kept inventing words he excluded, so the language moved on while the book stood still.","""A Dictionary of the English Language."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/A_Dictionary_of_the_English_Language. | ""Samuel Johnson."" Encyclopaedia Britannica, n.d., www.britannica.com/biography/Samuel-Johnson.","Claim card 1: A single editor drew the line here. | Claim card 2: Usage outvotes any editor. | Fact card: Samuel Johnson published this dictionary in London in 1755 after nine years of writing. | Materials: 2 Paper, 1 Resin",📖,Common,Power,Scope,English A: Language and Literature,On finding: +10 Power insight,book,r61_002
"The Vinland Map, Yale Unveiling, 1965",The Great Library: in the open (Field Search or floor pickup),Generated in-game (template: map),"Yale University revealed this map in 1965 as a claimed medieval chart showing Norse America. Ink studies from the 1970s onward found modern pigment, and Yale declared the map a fake in 2021. Belief in it lasted half a century because the story fit hopes about Viking voyages.","KQ: How far can laboratory tests settle a dispute between historians?

Suggested answer 1: Chemistry gave a hard answer here. The ink held a modern titanium compound, so the parchment could not carry a medieval drawing.

Suggested answer 2: Tests close one question and open another. Scientists proved forgery, yet historians still ask who drew it and why experts believed.","""Vinland Map."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Vinland_Map.","Claim card 1: Chemistry gave a hard answer here. | Claim card 2: Tests close one question and open another. | Fact card: Yale University revealed this map in 1965 as a claimed medieval chart showing Norse America. | Materials: 2 Paper, 1 Charcoal",🗺️,Common,Evidence,Methods and Tools,Chemistry,On finding: +12 Evidence insight,map,r61_003
"Oxford English Dictionary, Part I, A to Ant, 1884",The Tower of Tongues: in the open (Field Search or floor pickup),Generated in-game (template: book),"James Murray edited the first part of the Oxford English Dictionary, published in 1884 and covering A to Ant. Thousands of volunteer readers sent quotation slips, among them William Chester Minor, a patient held at Broadmoor asylum. The full first edition took until 1928 to complete.","KQ: To what extent can a dictionary describe a language without ruling it?

Suggested answer 1: The editors aimed to record, not command. Volunteer readers mailed quotation slips, so definitions followed printed use.

Suggested answer 2: Selection still rules quietly. Editors chose which slips counted, so the record carries their judgment about good sources.","""Oxford English Dictionary."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Oxford_English_Dictionary. | ""William Chester Minor."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/William_Chester_Minor.","Claim card 1: The editors aimed to record, not command. | Claim card 2: Selection still rules quietly. | Fact card: James Murray edited the first part of the Oxford English Dictionary, published in 1884 and covering A to Ant. | Materials: 2 Paper, 1 Charcoal",📚,Common,Objectivity,Methods and Tools,English A: Language and Literature,On finding: +10 Objectivity insight,book,r61_004
"Gutenberg Bible, 42-Line Edition, Mainz, c. 1455","The Exchange stall (delivered from The Great Library), about 150 lumens",Generated in-game (template: book),"Johannes Gutenberg printed about 180 copies of this Latin Bible in Mainz around 1455 using movable metal type. Copies matched each other page for page, a new fact in European book history. Within fifty years, presses ran in over two hundred European towns.","KQ: How far does faster copying shift control over a message?

Suggested answer 1: Print multiplied the text beyond any censor's reach. Identical Bibles left one press, so no single scribe or bishop could edit them all.

Suggested answer 2: The press first served the old authority. Gutenberg printed the church's own book, so new tools often begin by strengthening the earlier voice.","""Gutenberg Bible."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Gutenberg_Bible. | ""Johannes Gutenberg."" Encyclopaedia Britannica, n.d., www.britannica.com/biography/Johannes-Gutenberg.","Claim card 1: Print multiplied the text beyond any censor's reach. | Claim card 2: The press first served the old authority. | Fact card: Johannes Gutenberg printed about 180 copies of this Latin Bible in Mainz around 1455 using movable metal type. | Materials: 2 Paper, 1 Charcoal",🖨️,Rare,Power,Methods and Tools,History,On finding: +15 Power insight,book,r61_005
"Shakespeare's First Folio, London, 1623","The Exchange stall (delivered from The Great Library), about 120 lumens",Generated in-game (template: mask),"John Heminges and Henry Condell, actors in Shakespeare's company, assembled this collection in 1623, seven years after his death. It preserved eighteen plays with no earlier printed text, including Macbeth and The Tempest. About 235 copies survive today.","KQ: What do we lose when a performance becomes a printed page?

Suggested answer 1: The page saves the words and drops the event. Eighteen plays had no other copy, so print rescued them from silence.

Suggested answer 2: A script is a seed, not the play. Each staging remakes the meaning, so the Folio fixes far less than it seems.","""First Folio."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/First_Folio. | ""First Folio."" Encyclopaedia Britannica, n.d., www.britannica.com/topic/First-Folio.","Claim card 1: The page saves the words and drops the event. | Claim card 2: A script is a seed, not the play. | Fact card: John Heminges and Henry Condell, actors in Shakespeare's company, assembled this collection in 1623, seven years after his death. | Materials: 2 Wood, 1 Cord",🎭,Common,Values,Scope,Theatre,On finding: +12 Values insight,mask,r61_006
"The Voynich Manuscript, c. 1420",The Great Library: first-win reward of the Cipher of the Stacks trial,Generated in-game (template: gem),"This illustrated manuscript surfaced in 1912 when the book dealer Wilfrid Voynich bought it near Rome. Radiocarbon dating places its vellum in the early 1400s. Nobody has read its looping script, despite attempts by wartime code breakers and modern computers.","KQ: Under what circumstances should experts admit a text may never be read?

Suggested answer 1: Effort has limits. A century of code breakers failed, so a careful reader holds the question open instead of forcing an answer.

Suggested answer 2: Unread does not mean unreadable. Linear B waited three thousand years for decipherment, so new tools or one insight could still unlock it.","""Voynich manuscript."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Voynich_manuscript.","Claim card 1: Effort has limits. | Claim card 2: Unread does not mean unreadable. | Fact card: This illustrated manuscript surfaced in 1912 when the book dealer Wilfrid Voynich bought it near Rome. | Materials: 2 Glass, 1 Cord",🔍,Common,Certainty,Methods and Tools,Language B,On finding: +12 Certainty insight,gem,r61_007
"Leonardo da Vinci's Codex Leicester, c. 1510",Bottega District: given by Ser Piero the copyist after an exchange,Generated in-game (template: book),"Leonardo filled these 72 pages around 1508 to 1510 with studies of water, rock layers, and moonlight, all in mirror script. He explained fossil shells on mountains long before geology named the process. Bill Gates bought the codex in 1994 for 30.8 million dollars.","KQ: How do private notebooks change our picture of discovery?

Suggested answer 1: Notebooks show thinking in motion. Leonardo asks why the sky is blue and argues with himself, so science looks like drafts, not verdicts.

Suggested answer 2: Private pages can also bury knowledge. He wrote in mirror script and never published, so his insights moved nobody for centuries.","""Codex Leicester."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Codex_Leicester.","Claim card 1: Notebooks show thinking in motion. | Claim card 2: Private pages can also bury knowledge. | Fact card: Leonardo filled these 72 pages around 1508 to 1510 with studies of water, rock layers, and moonlight, all in mirror script. | Materials: 2 Paper, 1 Charcoal",📓,Common,Explanation,Methods and Tools,Physics,On finding: +10 Explanation insight,book,r61_008
"Fermat's Margin Note in Diophantus' Arithmetica, 1637",The Great Library: hidden. Hint: Slipped inside the Arithmetica on the margin-readers' lectern.,Generated in-game (template: book),"Around 1637, Pierre de Fermat wrote in his copy of Diophantus, claiming a marvellous proof too large for the margin. The note reached print in 1670 through his son's edition. Andrew Wiles finally proved the theorem in 1995.","KQ: Does a claim without its proof count as knowledge?

Suggested answer 1: In mathematics, no proof means no knowledge. The margin held a boast, and the field waited 358 years for the missing reason.

Suggested answer 2: The claim still guided knowers. Generations tested it and trusted it, so an unproven statement can organize a whole field's search.","""Fermat's Last Theorem."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Fermat%27s_Last_Theorem. | ""Pierre de Fermat."" Encyclopaedia Britannica, n.d., www.britannica.com/biography/Pierre-de-Fermat.","Claim card 1: In mathematics, no proof means no knowledge. | Claim card 2: The claim still guided knowers. | Fact card: Around 1637, Pierre de Fermat wrote in his copy of Diophantus, claiming a marvellous proof too large for the margin. | Materials: 2 Paper, 1 Charcoal",📝,Common,Justification,Methods and Tools,Mathematics,On finding: +12 Justification insight,book,r61_009
"Beethoven's Conversation Books, Vienna, 1818-1827",The Hall of Mirrors: given by Anton the secretary after an exchange,Generated in-game (template: letter),"Deaf from around 1818, Beethoven asked visitors to write their questions in notebooks and answered aloud. About 139 books survive. His secretary Anton Schindler destroyed some and forged entries in others to inflate his own role, a fraud confirmed by researchers in the 1970s.","KQ: How should historians treat evidence curated by someone with an agenda?

Suggested answer 1: Every source needs a suspect list. Schindler added fake entries after Beethoven died, so scholars now weigh each page against outside records.

Suggested answer 2: Tainted evidence still speaks. Even forged lines show what Schindler wanted the world to believe, so the lies become data about him.","""Anton Schindler."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Anton_Schindler. | ""Ludwig van Beethoven."" Encyclopaedia Britannica, n.d., www.britannica.com/biography/Ludwig-van-Beethoven.","Claim card 1: Every source needs a suspect list. | Claim card 2: Tainted evidence still speaks. | Fact card: Deaf from around 1818, Beethoven asked visitors to write their questions in notebooks and answered aloud. | Materials: 2 Paper, 1 Cord",🎼,Common,Evidence,Perspectives,Music,On finding: +12 Evidence insight,letter,r61_010
"The Flood Tablet, Gilgamesh XI, Nineveh, 7th Century BCE",The Great Library: in the open (Field Search or floor pickup),Generated in-game (template: tablet),"George Smith read this tablet at the British Museum in 1872 and, by report, jumped up in excitement: it held a flood story older than the Bible's. Scribes copied it for King Ashurbanipal's library at Nineveh in the 7th century BCE. The find opened public debate about where scripture's stories began.","KQ: To what extent can an older text change the meaning of a newer one?

Suggested answer 1: Age rearranges the family tree of stories. This flood tale predates Genesis, so readers began asking who borrowed from whom.

Suggested answer 2: Meaning does not travel by date alone. Each community reads its own flood story for its own lessons, so the older text changed history more than faith.","""Epic of Gilgamesh."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Epic_of_Gilgamesh. | ""Epic of Gilgamesh."" Encyclopaedia Britannica, n.d., www.britannica.com/topic/Epic-of-Gilgamesh.","Claim card 1: Age rearranges the family tree of stories. | Claim card 2: Meaning does not travel by date alone. | Fact card: George Smith read this tablet at the British Museum in 1872 and, by report, jumped up in excitement: it held a flood story older than the Bible's. | Materials: 2 Stone, 1 Charcoal",🧱,Rare,Interpretation,Scope,Literature A,Carried: +1 Vigor for trials,tablet,r61_011
"Popol Vuh, Father Ximenez Manuscript, c. 1701",Maya Lowlands: in the open (Field Search or floor pickup),Generated in-game (template: plant),"K'iche' Maya authors wrote this creation narrative in the Latin alphabet in the 1550s, soon after Spanish rule began. Friar Francisco Ximenez copied the only surviving version around 1701, with a Spanish translation beside the K'iche'. The text tells of the Hero Twins and of people shaped from maize.","KQ: What happens to knowledge when survivors must store it in the colonizer's alphabet?

Suggested answer 1: The alphabet saved the story. K'iche' authors wrote their creation account in Latin letters, so the narrative outlived the burned hieroglyphic books.

Suggested answer 2: Rescue changed the container. A Spanish friar copied and translated it, so every reader now meets the text through colonial hands.","""Popol Vuh."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Popol_Vuh. | ""Popol Vuh."" Encyclopaedia Britannica, n.d., www.britannica.com/topic/Popol-Vuh.","Claim card 1: The alphabet saved the story. | Claim card 2: Rescue changed the container. | Fact card: K'iche' Maya authors wrote this creation narrative in the Latin alphabet in the 1550s, soon after Spanish rule began. | Materials: 2 Seed, 1 Charcoal",🌽,Common,Culture,Perspectives,Literature A,On finding: +12 Culture insight,plant,r61_012
