Activity ID,Assessment,Category,Skill Focus,Activity Type,Activity Title,Activity Description,Time (min),IB Criterion,Style Preference,Text Type(s),Text / Work Focus,Difficulty,Location,Format,Session Use,Exam Proximity,Materials,Energy Level,Support Level,Helps With,Why It Helps,Success Criteria,If You Are Stuck
P1-0011,Paper 1,Technical Analysis,Diction & Connotation,Technique Drill,Loaded Word Analysis,"Find one highly loaded word. Write: denotation, connotations, why this word matters, what alternative word would change meaning.",2,B,"Reading, Writing, Verbal, Logical",Any,,Foundational,At Home,Individual,Warm-Up,Any Time,Pen & Paper,Low — fine when tired,Highly Scaffolded — steps are laid out for you,"Analysis Depth, Fresh Ideas & Interpretation",Precise technique-spotting with effects is what moves Criterion B from 'describes' to 'analyses'.,"You can name the technique, quote the exact words, and state the effect in one sentence.",Find the one word or image you'd never use in ordinary speech. That's usually the technique.
P1-0012,Paper 1,Technical Analysis,Diction & Connotation,Technique Drill,Synonym Swap,Take a loaded word from a text. Generate five synonyms. Rewrite the sentence with each synonym. Which choice is most powerful?,3,B,"Reading, Writing, Kinesthetic, Logical",Any,,Developing,At Home,Individual,Warm-Up,Any Time,Pen & Paper,Low — fine when tired,Some Scaffolding — guided but open,"Analysis Depth, Fresh Ideas & Interpretation",Precise technique-spotting with effects is what moves Criterion B from 'describes' to 'analyses'.,"You can name the technique, quote the exact words, and state the effect in one sentence.",Find the one word or image you'd never use in ordinary speech. That's usually the technique.
P1-0013,Paper 1,Technical Analysis,Semantic Fields,Technique Drill,Word Family Clusters,"Identify 8-10 words in a text that belong to the same semantic field (e.g., all related to war, death, nature). What effect does this clustering create?",3,B,"Reading, Writing, Logical, Analytical",Any,,Developing,At Home,Individual,Warm-Up,Any Time,Pen & Paper,Low — fine when tired,Highly Scaffolded — steps are laid out for you,Analysis Depth,Precise technique-spotting with effects is what moves Criterion B from 'describes' to 'analyses'.,"You can name the technique, quote the exact words, and state the effect in one sentence.",Find the one word or image you'd never use in ordinary speech. That's usually the technique.
P1-0014,Paper 1,Technical Analysis,Syntactic Structure & Effects,Technique Drill,Syntax Variation,"Take one sentence. Rewrite it three times with different structures (simple, compound, complex). Which creates most impact? Why?",3,B,"Reading, Writing, Kinesthetic, Logical",Any,,Developing,At Home,Individual,Warm-Up,Any Time,Pen & Paper,Low — fine when tired,Some Scaffolding — guided but open,"Analysis Depth, Structure & Planning, Fresh Ideas & Interpretation",Precise technique-spotting with effects is what moves Criterion B from 'describes' to 'analyses'.,"You can name the technique, quote the exact words, and state the effect in one sentence.",Find the one word or image you'd never use in ordinary speech. That's usually the technique.
P1-0015,Paper 1,Technical Analysis,Sentence Variety & Openings,Skill Builder,Opening Diversity,"Write five analytical sentences about the same idea. Each must open differently (noun, verb, clause, phrase, adverb). Which feel academic?",3,B,"Reading, Writing, Kinesthetic, Logical",Any,,Developing,At Home,Individual,Warm-Up,Any Time,Pen & Paper,Low — fine when tired,Some Scaffolding — guided but open,Getting Started,Precise technique-spotting with effects is what moves Criterion B from 'describes' to 'analyses'.,"You can name the technique, quote the exact words, and state the effect in one sentence.",Find the one word or image you'd never use in ordinary speech. That's usually the technique.
P1-0016,Paper 1,Technical Analysis,Figurative Language,Technique Drill,Metaphor Function,Find a metaphor or simile. Identify what's compared. What does the comparison reveal? Would literal language work as well?,2,B,"Reading, Writing, Verbal, Logical",Any,,Foundational,At Home,Individual,Warm-Up,Any Time,Device,Low — fine when tired,Highly Scaffolded — steps are laid out for you,Comparative Linking,Precise technique-spotting with effects is what moves Criterion B from 'describes' to 'analyses'.,"You can name the technique, quote the exact words, and state the effect in one sentence.",Find the one word or image you'd never use in ordinary speech. That's usually the technique.
P1-0017,Paper 1,Technical Analysis,Sound Devices & Phonetic Features,Technique Drill,Sound Pattern Search,"Find three sound devices in a text (alliteration, assonance, consonance, onomatopoeia). How does each sound device affect reading or meaning?",3,B,"Auditory, Reading, Writing, Logical","Poetry, Speech, Any Written Text",,Developing,At Home,Individual,Warm-Up,Any Time,Pen & Paper,Low — fine when tired,Some Scaffolding — guided but open,Analysis Depth,Precise technique-spotting with effects is what moves Criterion B from 'describes' to 'analyses'.,"You can name the technique, quote the exact words, and state the effect in one sentence.",Find the one word or image you'd never use in ordinary speech. That's usually the technique.
P1-0018,Paper 1,Technical Analysis,"Visual Elements (Layout, Colour, Typography)",Technique Drill,Typography Choices,"Analyse font choices in a design: typeface style, size, weight, spacing. How do these choices communicate meaning or emotion?",2,B,"Visual, Logical, Analytical","Advertisement, Website, Graphic Novel, Any Visual",,Foundational,At Home,Individual,Warm-Up,Any Time,Pen & Paper,Low — fine when tired,Highly Scaffolded — steps are laid out for you,"Analysis Depth, Time Management",Precise technique-spotting with effects is what moves Criterion B from 'describes' to 'analyses'.,"You can name the technique, quote the exact words, and state the effect in one sentence.",Find the one word or image you'd never use in ordinary speech. That's usually the technique.
P1-0019,Paper 1,Technical Analysis,Camera Angles & Framing,Technique Drill,Shot Analysis,"Find a photograph or film still. Analyse: camera angle (low, high, level), distance (close-up, medium, wide), perspective. What effect?",2,B,"Visual, Logical, Analytical","Photograph, Film, Advertisement, Artwork",,Developing,At Home,Individual,Warm-Up,Any Time,Device,Low — fine when tired,Some Scaffolding — guided but open,Analysis Depth,Precise technique-spotting with effects is what moves Criterion B from 'describes' to 'analyses'.,"You can name the technique, quote the exact words, and state the effect in one sentence.",Find the one word or image you'd never use in ordinary speech. That's usually the technique.
P1-0020,Paper 1,Technical Analysis,Visual Hierarchy & Composition,Technique Drill,Element Ranking,"Analyse a visual design. What element dominates (biggest, brightest, central)? Rank elements by visual importance. Does hierarchy support purpose?",2,B,"Visual, Logical, Analytical","Advertisement, Website, Design Object, Any Visual",,Developing,At Home,Individual,Warm-Up,Any Time,Pen & Paper,Low — fine when tired,Some Scaffolding — guided but open,Analysis Depth,Precise technique-spotting with effects is what moves Criterion B from 'describes' to 'analyses'.,"You can name the technique, quote the exact words, and state the effect in one sentence.",Find the one word or image you'd never use in ordinary speech. That's usually the technique.
P1-0021,Paper 1,Technical Analysis,Multimodal Interplay,Genre Analysis,Text-Image Integration,"Analyse a multimodal text. How do words and images work together? Does image reinforce text, contradict, or add new meaning?",3,B,"Visual, Logical, Analytical","Multimodal Text (Mixed), Advertisement, Website, Infographic",,Developing,At Home,Individual,Warm-Up,Any Time,Pen & Paper,Low — fine when tired,Some Scaffolding — guided but open,Analysis Depth,Precise technique-spotting with effects is what moves Criterion B from 'describes' to 'analyses'.,"You can name the technique, quote the exact words, and state the effect in one sentence.",Find the one word or image you'd never use in ordinary speech. That's usually the technique.
P1-0022,Paper 1,Technical Analysis,Advertising Techniques & Appeals,Genre Analysis,Ad Technique Decoder,"Find an advertisement. Identify: emotional appeals (pathos), credibility appeals (ethos), logical appeals (logos). Which is dominant?",3,B,"Reading, Writing, Logical, Analytical","Advertisement, Social Media Post",,Developing,At Home,Individual,Warm-Up,Any Time,Device,Low — fine when tired,Some Scaffolding — guided but open,Analysis Depth,Precise technique-spotting with effects is what moves Criterion B from 'describes' to 'analyses'.,"You can name the technique, quote the exact words, and state the effect in one sentence.",Find the one word or image you'd never use in ordinary speech. That's usually the technique.
P1-0023,Paper 1,Technical Analysis,Feature Spotting vs Analysis,Skill Builder,Beyond Spotting,Write an analysis sentence for a technique: 'The writer uses [technique]. This [effect] because [reasoning].' Avoid simple identification.,2,B,"Reading, Writing, Kinesthetic, Logical",Any,,Developing,At Home,Individual,Warm-Up,Any Time,Pen & Paper,Low — fine when tired,Some Scaffolding — guided but open,Analysis Depth,Precise technique-spotting with effects is what moves Criterion B from 'describes' to 'analyses'.,"You can name the technique, quote the exact words, and state the effect in one sentence.",Find the one word or image you'd never use in ordinary speech. That's usually the technique.
P1-0024,Paper 1,Technical Analysis,Evaluative Language,Skill Builder,Judgement Verb Bank,"Collect 15 evaluative verbs (exaggerate, undermine, clarify, emphasise, distort). Write one analytical sentence using each.",5,B,"Reading, Writing, Kinesthetic, Logical",Any,,Developing,At Home,Individual,Core Activity,Any Time,Pen & Paper,Medium — normal study energy,Some Scaffolding — guided but open,Vocabulary & Terminology,Precise technique-spotting with effects is what moves Criterion B from 'describes' to 'analyses'.,"You can name the technique, quote the exact words, and state the effect in one sentence.",Find the one word or image you'd never use in ordinary speech. That's usually the technique.
X-0001,"Paper 1, Paper 2",Thesis & Structure,Thesis Development,Formula Practice,Thesis Formula,Formula: [Creator] + [uses/employs] + [technique/element] + [to/in order to] + [effect/message]. Write five thesis statements for different texts.,5,C,"Reading, Writing, Kinesthetic, Logical",Any,,Foundational,At Home,Individual,Core Activity,Any Time,Pen & Paper,Medium — normal study energy,Highly Scaffolded — steps are laid out for you,"Getting Started, Analysis Depth, Structure & Planning",A clear thesis and plan is the highest-leverage 5 minutes in any exam response.,Your thesis names the creator's message AND the main methods — not just the topic.,Use the frame: [Creator] uses [technique] and [technique] to [effect/message]. Fill the brackets.
X-0002,"Paper 1, Paper 2",Thesis & Structure,Topic Sentences,Skill Drill,Claim Clarity,Write an analysis paragraph. Highlight the topic sentence. Does it signal the paragraph's main claim? Does rest of paragraph support it?,2,C,"Reading, Writing, Kinesthetic, Logical",Any,,Foundational,At Home,Individual,Warm-Up,Any Time,"Printed Text or Screen, Pen & Paper",Low — fine when tired,Highly Scaffolded — steps are laid out for you,"Getting Started, Analysis Depth, Structure & Planning",A clear thesis and plan is the highest-leverage 5 minutes in any exam response.,Your thesis names the creator's message AND the main methods — not just the topic.,Use the frame: [Creator] uses [technique] and [technique] to [effect/message]. Fill the brackets.
X-0003,"Paper 1, Paper 2",Thesis & Structure,Embedding Evidence,Technique Drill,Quote Integration,"Take a quote. Write three ways to embed it: introduce with context, interrupt with quote, end with quote. Which feels most analytical?",3,C,"Reading, Writing, Kinesthetic, Logical",Any,,Developing,At Home,Individual,Warm-Up,Any Time,Pen & Paper,Low — fine when tired,Some Scaffolding — guided but open,Quotations & Evidence,A clear thesis and plan is the highest-leverage 5 minutes in any exam response.,Your thesis names the creator's message AND the main methods — not just the topic.,Use the frame: [Creator] uses [technique] and [technique] to [effect/message]. Fill the brackets.
X-0004,"Paper 1, Paper 2",Thesis & Structure,Building Arguments,Skill Builder,Paragraph Purpose,"Write an analysis paragraph. After writing, identify: What does paragraph PROVE? How does each sentence build toward that proof?",3,C,"Reading, Writing, Logical, Analytical",Any,,Developing,At Home,Individual,Warm-Up,Any Time,Pen & Paper,Low — fine when tired,Some Scaffolding — guided but open,"Analysis Depth, Structure & Planning",A clear thesis and plan is the highest-leverage 5 minutes in any exam response.,Your thesis names the creator's message AND the main methods — not just the topic.,Use the frame: [Creator] uses [technique] and [technique] to [effect/message]. Fill the brackets.
X-0005,"Paper 1, Paper 2",Thesis & Structure,Counterargument Handling,Skill Builder,Opposing View,Write a paragraph supporting a position. Then write: How might someone disagree? Rewrite to acknowledge and refute the counterargument.,5,C,"Reading, Writing, Logical, Analytical",Any,,Advanced,At Home,Individual,Core Activity,Any Time,Pen & Paper,High — needs full focus,Independent — you drive the thinking,"Structure & Planning, Fresh Ideas & Interpretation",A clear thesis and plan is the highest-leverage 5 minutes in any exam response.,Your thesis names the creator's message AND the main methods — not just the topic.,Use the frame: [Creator] uses [technique] and [technique] to [effect/message]. Fill the brackets.
X-0006,"Paper 1, Paper 2",Thesis & Structure,Structural Coherence,Skill Builder,Reverse Outline,"After writing, create reverse outline: one sentence per paragraph showing its function. Do all paragraphs connect to thesis?",3,C,"Reading, Writing, Logical, Analytical",Any,,Developing,At Home,Individual,Warm-Up,Any Time,Pen & Paper,Low — fine when tired,Some Scaffolding — guided but open,"Getting Started, Structure & Planning",A clear thesis and plan is the highest-leverage 5 minutes in any exam response.,Your thesis names the creator's message AND the main methods — not just the topic.,Use the frame: [Creator] uses [technique] and [technique] to [effect/message]. Fill the brackets.
X-0007,"Paper 1, Paper 2",Thesis & Structure,Transitions & Signposting,Skill Builder,Transition Variety,Rewrite a paragraph replacing all transitions with different ones. Collect 20+ transition phrases showing different logical relationships.,5,C,"Reading, Writing, Kinesthetic, Logical",Any,,Developing,At Home,Individual,Core Activity,Any Time,Pen & Paper,Medium — normal study energy,Some Scaffolding — guided but open,"Structure & Planning, Fresh Ideas & Interpretation",A clear thesis and plan is the highest-leverage 5 minutes in any exam response.,Your thesis names the creator's message AND the main methods — not just the topic.,Use the frame: [Creator] uses [technique] and [technique] to [effect/message]. Fill the brackets.
X-0008,"Paper 1, Paper 2",Thesis & Structure,Conclusion Strategies,Skill Builder,Ending Types,"Write two different conclusion paragraphs: one summarising, one synthesising into a new insight. Which feels more analytical?",3,C,"Reading, Writing, Logical, Analytical",Any,,Developing,At Home,Individual,Warm-Up,Any Time,Pen & Paper,Low — fine when tired,Some Scaffolding — guided but open,"Getting Started, Structure & Planning",A clear thesis and plan is the highest-leverage 5 minutes in any exam response.,Your thesis names the creator's message AND the main methods — not just the topic.,Use the frame: [Creator] uses [technique] and [technique] to [effect/message]. Fill the brackets.
X-0009,"Paper 1, Individual Oral, Paper 2",Language & Register,Analytical Verb Use,Skill Builder,Verb Bank Building,"Create a personal vocabulary list: 20 analytical verbs (interrogate, underscore, substantiate, undermine, corroborate). Use each in one sentence.",5,D,"Reading, Writing, Kinesthetic, Logical",Any,,Foundational,At Home,Individual,Core Activity,Any Time,Pen & Paper,Medium — normal study energy,Highly Scaffolded — steps are laid out for you,Vocabulary & Terminology,"Analytical vocabulary upgrades every sentence you write or say, in all three assessments.",You used a new analytical verb naturally in a sentence about a real text.,"Steal three verbs from the activity, write one sentence each about any text you know well."
X-0010,"Paper 1, Individual Oral, Paper 2",Language & Register,Register Appropriateness,Skill Builder,Register Spectrum,"Take one idea. Write it in five registers: highly formal, formal, neutral, informal, very casual. Which is academic?",5,D,"Reading, Writing, Kinesthetic, Logical",Any,,Developing,At Home,Individual,Core Activity,Any Time,Pen & Paper,Medium — normal study energy,Some Scaffolding — guided but open,Analysis Depth,"Analytical vocabulary upgrades every sentence you write or say, in all three assessments.",You used a new analytical verb naturally in a sentence about a real text.,"Steal three verbs from the activity, write one sentence each about any text you know well."
X-0011,"Paper 1, Individual Oral, Paper 2",Language & Register,Academic Vocabulary,Skill Drill,Colloquialism Audit,"Take a paragraph with casual language ('basically,' 'really,' 'stuff'). Replace each with academic vocabulary. How does formality shift?",3,D,"Reading, Writing, Kinesthetic, Logical",Any,,Foundational,At Home,Individual,Warm-Up,Any Time,Pen & Paper,Low — fine when tired,Highly Scaffolded — steps are laid out for you,"Structure & Planning, Vocabulary & Terminology","Analytical vocabulary upgrades every sentence you write or say, in all three assessments.",You used a new analytical verb naturally in a sentence about a real text.,"Steal three verbs from the activity, write one sentence each about any text you know well."
X-0012,"Paper 1, Individual Oral, Paper 2",Language & Register,Syntactic Variety,Skill Builder,Length Variation,"Write one paragraph using only complex sentences. Rewrite using varied lengths: short, medium, complex. Which version is more readable?",5,D,"Reading, Writing, Kinesthetic, Logical",Any,,Developing,At Home,Individual,Core Activity,Any Time,Pen & Paper,Medium — normal study energy,Some Scaffolding — guided but open,"Structure & Planning, Fresh Ideas & Interpretation","Analytical vocabulary upgrades every sentence you write or say, in all three assessments.",You used a new analytical verb naturally in a sentence about a real text.,"Steal three verbs from the activity, write one sentence each about any text you know well."
X-0013,"Paper 1, Individual Oral, Paper 2",Language & Register,Evidence Integration,Technique Drill,Quote Context,"Find a quote. Write it three ways: as full sentence, embedded clause, incorporated phrase. Which flows most naturally in analysis?",3,D,"Reading, Writing, Kinesthetic, Logical",Any,,Developing,At Home,Individual,Warm-Up,Any Time,"Device, Pen & Paper",Low — fine when tired,Some Scaffolding — guided but open,"Analysis Depth, Quotations & Evidence","Analytical vocabulary upgrades every sentence you write or say, in all three assessments.",You used a new analytical verb naturally in a sentence about a real text.,"Steal three verbs from the activity, write one sentence each about any text you know well."
X-0014,"Paper 1, Individual Oral, Paper 2",Language & Register,Precise Terminology,Skill Drill,Term Accuracy,"Take analysis using vague terms ('good,' 'bad,' 'interesting'). Replace with precise terminology (genre, technique, effect, strategy).",2,D,"Reading, Writing, Kinesthetic, Logical",Any,,Foundational,At Home,Individual,Warm-Up,Any Time,Pen & Paper,Low — fine when tired,Highly Scaffolded — steps are laid out for you,"Analysis Depth, Vocabulary & Terminology","Analytical vocabulary upgrades every sentence you write or say, in all three assessments.",You used a new analytical verb naturally in a sentence about a real text.,"Steal three verbs from the activity, write one sentence each about any text you know well."
P1-0025,Paper 1,Genre Specifics,Advertisements,Genre Analysis,Ad Purpose Analysis,"Choose an advertisement. Identify: product, target audience, key message, visual hook, call to action. How do all elements work together?",3,B,"Visual, Reading, Writing, Logical",Advertisement,,Developing,At Home,Individual,Warm-Up,Any Time,Pen & Paper,Low — fine when tired,Some Scaffolding — guided but open,Analysis Depth,"Genre conventions are a cheat-code: once you know the formula, deviations become instant analysis.",You can state the genre's formula and one way your example follows or breaks it.,"Ask: if I had to make one of these, what three things would I have to include? Check them off."
P1-0026,Paper 1,Genre Specifics,Advertisements,Technique Drill,Appeal Strategy,"Find an ad using emotional, credibility, and logical appeals. Rank them: which appeal dominates? Does ranking affect persuasiveness?",3,B,"Visual, Logical, Analytical",Advertisement,,Developing,At Home,Individual,Warm-Up,Any Time,Device,Low — fine when tired,Some Scaffolding — guided but open,Analysis Depth,"Genre conventions are a cheat-code: once you know the formula, deviations become instant analysis.",You can state the genre's formula and one way your example follows or breaks it.,"Ask: if I had to make one of these, what three things would I have to include? Check them off."
P1-0027,Paper 1,Genre Specifics,Blog Posts & Online Writing,Genre Analysis,Blog Features,"Analyse a blog post. How is it different from traditional essay? Consider: tone, conversational elements, visuals, links, formatting.",3,B,"Reading, Writing, Logical, Analytical",Blog Post,,Developing,At Home,Individual,Warm-Up,Any Time,Pen & Paper,Low — fine when tired,Some Scaffolding — guided but open,"Analysis Depth, Speaking Confidence","Genre conventions are a cheat-code: once you know the formula, deviations become instant analysis.",You can state the genre's formula and one way your example follows or breaks it.,"Ask: if I had to make one of these, what three things would I have to include? Check them off."
P1-0028,Paper 1,Genre Specifics,Cartoons & Comics,Genre Analysis,Visual Storytelling,"Analyse a cartoon's visual elements: line weight, shading, facial expressions, speech bubbles, layout. How do these convey meaning without dialogue?",3,B,"Visual, Logical, Analytical","Cartoon, Comic",,Developing,At Home,Individual,Warm-Up,Any Time,Pen & Paper,Low — fine when tired,Some Scaffolding — guided but open,Analysis Depth,"Genre conventions are a cheat-code: once you know the formula, deviations become instant analysis.",You can state the genre's formula and one way your example follows or breaks it.,"Ask: if I had to make one of these, what three things would I have to include? Check them off."
P1-0029,Paper 1,Genre Specifics,Graphic Novels,Genre Analysis,Panel Progression,"Analyse a graphic novel sequence: panel size/shape, gutters (spaces), image progression, perspective changes. How does layout create meaning?",5,B,"Visual, Logical, Analytical","Graphic Novel, Comic",,Advanced,At Home,Individual,Core Activity,Any Time,Pen & Paper,High — needs full focus,Independent — you drive the thinking,Analysis Depth,"Genre conventions are a cheat-code: once you know the formula, deviations become instant analysis.",You can state the genre's formula and one way your example follows or breaks it.,"Ask: if I had to make one of these, what three things would I have to include? Check them off."
P1-0030,Paper 1,Genre Specifics,Infographics,Genre Analysis,Data Visualisation,"Analyse an infographic: data type, visualisation choice (bar, pie, graph), colour, labels, hierarchy. Why this format over text?",3,B,"Visual, Logical, Analytical",Infographic,,Developing,At Home,Individual,Warm-Up,Any Time,Pen & Paper,Low — fine when tired,Some Scaffolding — guided but open,Analysis Depth,"Genre conventions are a cheat-code: once you know the formula, deviations become instant analysis.",You can state the genre's formula and one way your example follows or breaks it.,"Ask: if I had to make one of these, what three things would I have to include? Check them off."
P1-0031,Paper 1,Genre Specifics,Websites,Genre Analysis,Navigation & Purpose,"Explore a website: navigation structure, homepage layout, visual hierarchy, calls to action. How does design guide user behaviour?",3,B,"Visual, Logical, Analytical",Website,,Developing,At Home,Individual,Warm-Up,Any Time,Device,Low — fine when tired,Some Scaffolding — guided but open,Structure & Planning,"Genre conventions are a cheat-code: once you know the formula, deviations become instant analysis.",You can state the genre's formula and one way your example follows or breaks it.,"Ask: if I had to make one of these, what three things would I have to include? Check them off."
P1-0032,Paper 1,Genre Specifics,Opinion Columns,Genre Analysis,Argument Structure,"Analyse an opinion column: opening hook, claim, evidence types, counterargument handling, conclusion. How does structure support persuasion?",5,C,"Reading, Writing, Logical, Analytical",Opinion Column,,Developing,At Home,Individual,Core Activity,Any Time,Pen & Paper,Medium — normal study energy,Some Scaffolding — guided but open,"Getting Started, Analysis Depth, Structure & Planning, Quotations & Evidence","Genre conventions are a cheat-code: once you know the formula, deviations become instant analysis.",You can state the genre's formula and one way your example follows or breaks it.,"Ask: if I had to make one of these, what three things would I have to include? Check them off."
P1-0033,Paper 1,Genre Specifics,Feature Articles & Journalism,Genre Analysis,Narrative Journalism,"Analyse a feature article: 'angle,' human interest elements, narrative arc, structure (not inverted pyramid). How does storytelling engage readers?",5,B,"Reading, Writing, Logical, Analytical",Feature Article,,Developing,At Home,Individual,Core Activity,Any Time,Pen & Paper,Medium — normal study energy,Some Scaffolding — guided but open,"Analysis Depth, Structure & Planning","Genre conventions are a cheat-code: once you know the formula, deviations become instant analysis.",You can state the genre's formula and one way your example follows or breaks it.,"Ask: if I had to make one of these, what three things would I have to include? Check them off."
